Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
x727si737-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,753.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,753.70,,true,,,active
x726ga740-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,663.90,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,663.90,,true,,,active
x726el718-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,659.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,659.00,,true,,,active
x677si648-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,757.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,757.20,,true,,,active
x677ga650-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,717.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,717.20,,true,,,active
x677fl121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,785.80,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,785.80,,true,,,active
x677el121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,712.40,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,712.40,,true,,,active
x676si648-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,699.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,699.10,,true,,,active
x676la147-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,640.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,640.10,,true,,,active
x676ga650-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,659.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,659.00,,true,,,active
x676fl121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,727.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,727.70,,true,,,active
x676el121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,654.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,654.20,,true,,,active
x077si215-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,757.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,757.20,,true,,,active
x077la206-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,698.30,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,698.30,,true,,,active
x077la015-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,698.30,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,698.30,,true,,,active
x077en206-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,669.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,669.20,,true,,,active
x077ce215-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,674.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,674.50,,true,,,active
x076si215-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,699.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,699.10,,true,,,active
x076la206-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,640.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,640.10,,true,,,active
x076ce215-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,616.30,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,616.30,,true,,,active
weni7-bmk-c,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
weni5-bmk-c,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
welg7-bmk-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
welg5-bmk-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
vnke5-mah-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
vnke3-mah-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
vnew5-mah-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
vnew3-mah-w,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,0.00,,true,,,active
vafo5-lwh-44,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,770.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,770.20,,true,,,active
v777el718-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,775.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,775.70,,true,,,active
v776fo749-5,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,746.80,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,746.80,,true,,,active
v776ab747-5,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,516.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,516.20,,true,,,active
v726si737-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,761.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,761.20,,true,,,active
v696si648-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,742.90,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,742.90,,true,,,active
v696la147-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,684.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,684.00,,true,,,active
v677ga650-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,771.90,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,771.90,,true,,,active
v677fl121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,840.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,840.50,,true,,,active
v677el121-6,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,767.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,767.00,,true,,,active
